No.,Component Type,Performance Group Quantity,Quantity Dispersion,Fragility Correlated,Population Model,Demand Parameters,Dir,Floor Num
D3041.041a,,4.68876,p90 low,FALSE,,,3,18.0
D4011.021a,,2.578818,0.1,FALSE,,,3,18.0
D4011.031a,,1.406628,0.1,FALSE,,,3,18.0
B2022.001,,58.609500000000004,0.6,FALSE,,,1,17.0
B2022.001,,58.609500000000004,0.6,FALSE,,,2,17.0
B3011.011,,37.510079999999995,0.9,FALSE,,,3,17.0
C1011.001a,,14.066279999999999,0.3,FALSE,,,1,17.0
C1011.001a,,14.066279999999999,0.3,FALSE,,,2,17.0
C3011.001a,,4.47307704,0.4,FALSE,,,1,17.0
C3011.001a,,4.47307704,0.4,FALSE,,,2,17.0
C3032.001a,,44.54321999999999,0.0,FALSE,,,3,17.0
C3032.001a,,2.34438,0.0,FALSE,,,3,17.0
D2021.011a,,1.2425214,0.4,FALSE,,,3,17.0
D3041.011a,,0.586095,0.6,FALSE,,,3,17.0
D3041.031a,,9.37752,0.4,FALSE,,,3,17.0
D3041.041a,,4.68876,p90 low,FALSE,,,3,17.0
D4011.021a,,2.578818,0.1,FALSE,,,3,17.0
D4011.031a,,1.406628,0.1,FALSE,,,3,17.0
B2022.001,,58.609500000000004,0.6,FALSE,,,1,16.0
B2022.001,,58.609500000000004,0.6,FALSE,,,2,16.0
B3011.011,,37.510079999999995,0.9,FALSE,,,3,16.0
C1011.001a,,14.066279999999999,0.3,FALSE,,,1,16.0
C1011.001a,,14.066279999999999,0.3,FALSE,,,2,16.0
C3011.001a,,4.47307704,0.4,FALSE,,,1,16.0
C3011.001a,,4.47307704,0.4,FALSE,,,2,16.0
C3032.001a,,44.54321999999999,0.0,FALSE,,,3,16.0
C3032.001a,,2.34438,0.0,FALSE,,,3,16.0
D2021.011a,,1.2425214,0.4,FALSE,,,3,16.0
D3041.011a,,0.586095,0.6,FALSE,,,3,16.0
D3041.031a,,9.37752,0.4,FALSE,,,3,16.0
D3041.041a,,4.68876,p90 low,FALSE,,,3,16.0
D4011.021a,,2.578818,0.1,FALSE,,,3,16.0
D4011.031a,,1.406628,0.1,FALSE,,,3,16.0
B2022.001,,58.609500000000004,0.6,FALSE,,,1,15.0
B2022.001,,58.609500000000004,0.6,FALSE,,,2,15.0
B3011.011,,37.510079999999995,0.9,FALSE,,,3,15.0
C1011.001a,,14.066279999999999,0.3,FALSE,,,1,15.0
C1011.001a,,14.066279999999999,0.3,FALSE,,,2,15.0
C3011.001a,,4.47307704,0.4,FALSE,,,1,15.0
C3011.001a,,4.47307704,0.4,FALSE,,,2,15.0
C3032.001a,,44.54321999999999,0.0,FALSE,,,3,15.0
C3032.001a,,2.34438,0.0,FALSE,,,3,15.0
D2021.011a,,1.2425214,0.4,FALSE,,,3,15.0
D3041.011a,,0.586095,0.6,FALSE,,,3,15.0
D3041.031a,,9.37752,0.4,FALSE,,,3,15.0
D3041.041a,,4.68876,p90 low,FALSE,,,3,15.0
D4011.021a,,2.578818,0.1,FALSE,,,3,15.0
D4011.031a,,1.406628,0.1,FALSE,,,3,15.0
B2022.001,,58.609500000000004,0.6,FALSE,,,1,14.0
B2022.001,,58.609500000000004,0.6,FALSE,,,2,14.0
B3011.011,,37.510079999999995,0.9,FALSE,,,3,14.0
C1011.001a,,14.066279999999999,0.3,FALSE,,,1,14.0
C1011.001a,,14.066279999999999,0.3,FALSE,,,2,14.0
C3011.001a,,4.47307704,0.4,FALSE,,,1,14.0
C3011.001a,,4.47307704,0.4,FALSE,,,2,14.0
C3032.001a,,44.54321999999999,0.0,FALSE,,,3,14.0
C3032.001a,,2.34438,0.0,FALSE,,,3,14.0
D2021.011a,,1.2425214,0.4,FALSE,,,3,14.0
D3041.011a,,0.586095,0.6,FALSE,,,3,14.0
D3041.031a,,9.37752,0.4,FALSE,,,3,14.0
D3041.041a,,4.68876,p90 low,FALSE,,,3,14.0
D4011.021a,,2.578818,0.1,FALSE,,,3,14.0
D4011.031a,,1.406628,0.1,FALSE,,,3,14.0
B2022.001,,58.609500000000004,0.6,FALSE,,,1,13.0
B2022.001,,58.609500000000004,0.6,FALSE,,,2,13.0
B3011.011,,37.510079999999995,0.9,FALSE,,,3,13.0
C1011.001a,,14.066279999999999,0.3,FALSE,,,1,13.0
C1011.001a,,14.066279999999999,0.3,FALSE,,,2,13.0
C3011.001a,,4.47307704,0.4,FALSE,,,1,13.0
C3011.001a,,4.47307704,0.4,FALSE,,,2,13.0
C3032.001a,,44.54321999999999,0.0,FALSE,,,3,13.0
C3032.001a,,2.34438,0.0,FALSE,,,3,13.0
D2021.011a,,1.2425214,0.4,FALSE,,,3,13.0
D3041.011a,,0.586095,0.6,FALSE,,,3,13.0
D3041.031a,,9.37752,0.4,FALSE,,,3,13.0
D3041.041a,,4.68876,p90 low,FALSE,,,3,13.0
D4011.021a,,2.578818,0.1,FALSE,,,3,13.0
D4011.031a,,1.406628,0.1,FALSE,,,3,13.0
